nama,jenis,lat,lon,provinsi
Landau Kantu,village,-1.67398,111.05069,KALIMANTAN TENGAH
Belaban Tujuh,village,-1.83761,110.46746,KALIMANTAN BARAT
Asam Besar,village,-2.40257,111.01303,KALIMANTAN BARAT
Cuhai,village,-1.83486,111.1061,KALIMANTAN TENGAH
Sekuningan Baru,village,-2.34032,111.18543,KALIMANTAN TENGAH
Silat,village,-2.27882,110.94785,KALIMANTAN BARAT
Batu Tajam,village,-1.81611,110.58251,KALIMANTAN BARAT
Raja Seberang,village,-2.66773,111.63256,KALIMANTAN TENGAH
Sungai Pelang,village,-1.92595,110.06859,KALIMANTAN BARAT
Bukit Kelambing,village,-2.36831,110.68299,KALIMANTAN BARAT
Marga Mulya,village,-2.47771,111.8878,KALIMANTAN TENGAH
Bukit Makmur,village,-2.08916,111.59684,KALIMANTAN TENGAH
Sungai Raja,village,-3.05197,111.01792,KALIMANTAN TENGAH
Pangkalan Batu,village,-2.21385,110.39302,KALIMANTAN BARAT
Batu Tambun,village,-1.767,111.12651,KALIMANTAN TENGAH
Sambi,village,-1.99447,112.01115,KALIMANTAN TENGAH
Tumbang Bai,village,-1.95394,112.1612,KALIMANTAN TENGAH
Suka Makmur,village,-2.36262,111.35585,KALIMANTAN TENGAH
Pedongatan,village,-1.86149,111.52504,KALIMANTAN TENGAH
Kubung,village,-1.63341,110.94467,KALIMANTAN TENGAH
Tanjung Pura,village,-1.73259,110.20703,KALIMANTAN BARAT
Suka Baru,village,-1.85657,109.93992,KALIMANTAN BARAT
Semantun,village,-2.06833,111.00023,KALIMANTAN BARAT
Suja,village,-1.92053,111.26419,KALIMANTAN TENGAH
Ajang,village,-2.26509,111.21781,KALIMANTAN TENGAH
Gahang,village,-2.31107,110.74299,KALIMANTAN BARAT
Karang Taba,village,-1.89379,111.13641,KALIMANTAN TENGAH
Pandu Sanjaya,village,-2.4753,111.76759,KALIMANTAN TENGAH
Parang Batang,village,-2.61965,112.18768,KALIMANTAN TENGAH
Sahabu,village,-2.19805,112.15074,KALIMANTAN TENGAH
Piansak,village,-1.7046,110.39582,KALIMANTAN BARAT
Suka Harapan,village,-2.31012,110.59029,KALIMANTAN BARAT
Tumbang Titi,village,-1.82666,110.61239,KALIMANTAN BARAT
Kendawangan Kanan,village,-2.54108,110.2156,KALIMANTAN BARAT
Nanga Bulik,town,-2.1832,111.43288,KALIMANTAN TENGAH
Sukaraja,village,-2.48682,111.25441,KALIMANTAN TENGAH
Kelampai,village,-2.13744,110.94589,KALIMANTAN BARAT
Sumber Jaya,village,-2.10083,111.67603,KALIMANTAN TENGAH
Pembuang Hulu II,village,-2.48173,112.13274,KALIMANTAN TENGAH
Palih Baru,village,-2.28313,111.36467,KALIMANTAN TENGAH
Penyombaan,village,-1.59316,111.04298,KALIMANTAN TENGAH
Kalimas Baru,village,-1.81745,110.50608,KALIMANTAN BARAT
Kumai Hulu,village,-2.73712,111.72661,KALIMANTAN TENGAH
Nanga Kemujan,village,-1.79127,111.67896,KALIMANTAN TENGAH
Natai Kondang,village,-2.25388,111.17968,KALIMANTAN TENGAH
Pematang Gadung,village,-1.99211,110.13124,KALIMANTAN BARAT
Bayat,village,-1.78646,111.42494,KALIMANTAN TENGAH
Sumber Agung,village,-2.57697,111.73645,KALIMANTAN TENGAH
Kotawaringin Hulu,village,-2.40281,111.53278,KALIMANTAN TENGAH
Nanga Kelampai,village,-1.93197,110.47836,KALIMANTAN BARAT
Air Dekakah,village,-2.33056,110.98042,KALIMANTAN BARAT
Kubu,village,-2.85444,111.70169,KALIMANTAN TENGAH
Bukit Indah,village,-2.13207,111.37333,KALIMANTAN TENGAH
Sepoyu,village,-1.69521,111.10094,KALIMANTAN TENGAH
Sampit,village,-1.83366,109.96397,KALIMANTAN BARAT
Bina Bhakti,village,-2.2033,111.54099,KALIMANTAN TENGAH
Petarikan,village,-2.43121,111.16762,KALIMANTAN TENGAH
Kemuning,village,-2.2293,110.94668,KALIMANTAN BARAT
Tempurukan,village,-1.69425,110.02762,KALIMANTAN BARAT
Kumpai Batu Atas,village,-2.78659,111.57205,KALIMANTAN TENGAH
Sungai Melayu Jaya,village,-1.76878,110.46809,KALIMANTAN BARAT
Sido Mulyo,village,-2.40175,111.8628,KALIMANTAN TENGAH
Topalan,village,-1.99896,111.70205,KALIMANTAN TENGAH
Sungai Tabuk,village,-3.00857,111.14743,KALIMANTAN TENGAH
Batu Menang,hamlet,-2.01824,110.91285,KALIMANTAN BARAT
Benuatan,village,-1.64643,111.43578,KALIMANTAN TENGAH
Nanga Mua,village,-2.19068,111.91231,KALIMANTAN TENGAH
Teluk Bayur,village,-2.12938,112.17462,KALIMANTAN TENGAH
Kondang,village,-2.3451,111.44996,KALIMANTAN TENGAH
Keraya,village,-2.98054,111.53139,KALIMANTAN TENGAH
Sungai Mentawa,village,-2.05906,111.43965,KALIMANTAN TENGAH
