nama,jenis,lat,lon,provinsi,pm25_h1,pm25_h2,pm25_h3,jarak_grid_km_h1,jarak_grid_km_h2,jarak_grid_km_h3,tanggal_ramal_h1,tanggal_ramal_h2,tanggal_ramal_h3
Juk Ayaq,village,0.88414,116.86397,KALIMANTAN TIMUR,26.685718536376953,26.02151107788086,23.504852294921875,27.8604115577585,27.8604115577585,27.8604115577585,2026-09-13,2026-09-14,2026-09-15
Umaq Dian,village,0.58142,116.03448,KALIMANTAN TIMUR,18.094446182250977,20.776586532592773,18.164382934570312,25.37327346437577,25.37327346437577,25.37327346437577,2026-09-13,2026-09-14,2026-09-15
Pulau Harapan,village,-0.35579,116.38465,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,29.554646600768088,29.554646600768088,29.554646600768088,2026-09-13,2026-09-14,2026-09-15
Bumi Rapak,village,1.03716,117.84936,KALIMANTAN TIMUR,18.601871490478516,19.84461212158203,18.745744705200195,38.262884417513895,38.262884417513895,38.262884417513895,2026-09-13,2026-09-14,2026-09-15
Pulau Pinang,village,0.26767,116.18094,KALIMANTAN TIMUR,27.362743377685547,27.612306594848633,25.90041160583496,9.691421902369113,9.691421902369113,9.691421902369113,2026-09-13,2026-09-14,2026-09-15
Sempayau,village,1.13739,117.88187,KALIMANTAN TIMUR,13.88227653503418,14.10601806640625,13.234689712524414,30.248526091270445,30.248526091270445,30.248526091270445,2026-09-13,2026-09-14,2026-09-15
Gunung Samarinda,village,-1.2337,116.84479,KALIMANTAN TIMUR,14.908312797546387,14.671296119689941,14.206857681274414,27.470055282765053,27.470055282765053,27.470055282765053,2026-09-13,2026-09-14,2026-09-15
Senoni,village,-0.33404,116.82662,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,29.276635357871367,29.276635357871367,29.276635357871367,2026-09-13,2026-09-14,2026-09-15
Sebelang,village,-0.31413,116.06906,KALIMANTAN TIMUR,35.77309799194336,36.768409729003906,32.896358489990234,13.148733506042943,13.148733506042943,13.148733506042943,2026-09-13,2026-09-14,2026-09-15
Santan Ilir,village,-0.00771,117.48785,KALIMANTAN TIMUR,26.981239318847656,26.418052673339844,24.37345314025879,36.417476642261875,36.417476642261875,36.417476642261875,2026-09-13,2026-09-14,2026-09-15
Kedang Ipil,village,-0.41076,116.63667,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,23.787510127404452,23.787510127404452,23.787510127404452,2026-09-13,2026-09-14,2026-09-15
Muara Pias,village,-1.39253,116.26493,KALIMANTAN TIMUR,15.564688682556152,15.641468048095703,15.175750732421875,28.186490323571118,28.186490323571118,28.186490323571118,2026-09-13,2026-09-14,2026-09-15
Muara Jawaq,village,-0.26127,115.92089,KALIMANTAN TIMUR,35.77309799194336,36.768409729003906,32.896358489990234,21.049021082921737,21.049021082921737,21.049021082921737,2026-09-13,2026-09-14,2026-09-15
Benua Baru,village,0.45845,116.72318,KALIMANTAN TIMUR,39.74984359741211,41.65632629394531,35.82001876831055,22.316420245903792,22.316420245903792,22.316420245903792,2026-09-13,2026-09-14,2026-09-15
